Epoch 0, Step 55000, Loss: 0.367035784559, Accuracy: 0.860236358643, lr: 0.001
Epoch 1, Step 55000, Loss: 0.312033414451, Accuracy: 0.884072722738, lr: 0.001
Epoch 2, Step 55000, Loss: 0.264282927825, Accuracy: 0.90238181396, lr: 0.001
Epoch 3, Step 55000, Loss: 0.241638767624, Accuracy: 0.908472724069, lr: 0.001
Epoch 4, Step 55000, Loss: 0.22104333013, Accuracy: 0.91910908699, lr: 0.001
Epoch 5, Step 55000, Loss: 0.204332973937, Accuracy: 0.92325454143, lr: 0.001
Epoch 6, Step 55000, Loss: 0.197412856018, Accuracy: 0.926636361642, lr: 0.001
Epoch 7, Step 55000, Loss: 0.188500502719, Accuracy: 0.927927269719, lr: 0.001
Epoch 8, Step 55000, Loss: 0.183750676635, Accuracy: 0.931109087901, lr: 0.001
Epoch 9, Step 55000, Loss: 0.163914659409, Accuracy: 0.937799997872, lr: 0.001
Epoch 10, Step 55000, Loss: 0.165420620897, Accuracy: 0.939327269576, lr: 0.001
Epoch 11, Step 55000, Loss: 0.162262000631, Accuracy: 0.940618179332, lr: 0.001
Epoch 12, Step 55000, Loss: 0.157270864323, Accuracy: 0.940654543259, lr: 0.001
Epoch 13, Step 55000, Loss: 0.150848718377, Accuracy: 0.941545452909, lr: 0.001
Epoch 14, Step 55000, Loss: 0.136072542927, Accuracy: 0.948109089678, lr: 0.001
Epoch 15, Step 55000, Loss: 0.14657104257, Accuracy: 0.944345452948, lr: 0.001
Epoch 16, Step 55000, Loss: 0.140981899237, Accuracy: 0.94629090721, lr: 0.001
Epoch 17, Step 55000, Loss: 0.124704709327, Accuracy: 0.952509090196, lr: 0.001
Epoch 18, Step 55000, Loss: 0.124014117057, Accuracy: 0.952709089409, lr: 0.001
Epoch 19, Step 55000, Loss: 0.115630394067, Accuracy: 0.957690908746, lr: 0.001
Epoch 20, Step 55000, Loss: 0.126813276177, Accuracy: 0.953054544384, lr: 0.001
Epoch 21, Step 55000, Loss: 0.117804690917, Accuracy: 0.953818180399, lr: 0.001
Epoch 22, Step 55000, Loss: 0.107472328108, Accuracy: 0.959636363604, lr: 0.001
Epoch 23, Step 55000, Loss: 0.118462070614, Accuracy: 0.9541090897, lr: 0.001
Epoch 24, Step 55000, Loss: 0.0926423709738, Accuracy: 0.965436363816, lr: 0.001
