Epoch 0, Step 55000, Loss: 0.376497899274, Accuracy: 0.85865454056, lr: 0.001
Epoch 1, Step 55000, Loss: 0.306278245835, Accuracy: 0.881254540682, lr: 0.001
Epoch 2, Step 55000, Loss: 0.267378798639, Accuracy: 0.899418177767, lr: 0.001
Epoch 3, Step 55000, Loss: 0.253323187149, Accuracy: 0.904509086934, lr: 0.001
Epoch 4, Step 55000, Loss: 0.229603233083, Accuracy: 0.914054542401, lr: 0.001
Epoch 5, Step 55000, Loss: 0.215531386257, Accuracy: 0.917945451195, lr: 0.001
Epoch 6, Step 55000, Loss: 0.205896301921, Accuracy: 0.921781814749, lr: 0.001
Epoch 7, Step 55000, Loss: 0.192163928906, Accuracy: 0.927545451739, lr: 0.001
Epoch 8, Step 55000, Loss: 0.187719560521, Accuracy: 0.927036361315, lr: 0.001
Epoch 9, Step 55000, Loss: 0.168793859986, Accuracy: 0.935872724923, lr: 0.001
Epoch 10, Step 55000, Loss: 0.164054286781, Accuracy: 0.938454542756, lr: 0.001
Epoch 11, Step 55000, Loss: 0.162277785106, Accuracy: 0.938254542784, lr: 0.001
Epoch 12, Step 55000, Loss: 0.145903992133, Accuracy: 0.944981816953, lr: 0.001
Epoch 13, Step 55000, Loss: 0.143668057106, Accuracy: 0.946090906804, lr: 0.001
Epoch 14, Step 55000, Loss: 0.138172725112, Accuracy: 0.949854543155, lr: 0.001
Epoch 15, Step 55000, Loss: 0.1241146933, Accuracy: 0.953181816827, lr: 0.001
Epoch 16, Step 55000, Loss: 0.137727197713, Accuracy: 0.946363634521, lr: 0.001
Epoch 17, Step 55000, Loss: 0.133080103902, Accuracy: 0.949309088317, lr: 0.001
Epoch 18, Step 55000, Loss: 0.12029701398, Accuracy: 0.953709088726, lr: 0.001
Epoch 19, Step 55000, Loss: 0.121001031621, Accuracy: 0.95478181736, lr: 0.001
Epoch 20, Step 55000, Loss: 0.111803046428, Accuracy: 0.957999999577, lr: 0.001
Epoch 21, Step 55000, Loss: 0.113421702417, Accuracy: 0.957618180784, lr: 0.001
Epoch 22, Step 55000, Loss: 0.10397747169, Accuracy: 0.961290907968, lr: 0.001
Epoch 23, Step 55000, Loss: 0.0980980818393, Accuracy: 0.962527272701, lr: 0.001
Epoch 24, Step 55000, Loss: 0.0989022587121, Accuracy: 0.96350909076, lr: 0.001
