Epoch 0, Step 55000, Loss: 0.667541197863, Accuracy: 0.759563634937, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.55935556791, Accuracy: 0.795454544154, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.52872445437, Accuracy: 0.810309089531, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.465433881445, Accuracy: 0.832836363099, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.461952798854, Accuracy: 0.831890907179, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.43549749033, Accuracy: 0.84158181754, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.40719356713, Accuracy: 0.851309089227, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.402120856291, Accuracy: 0.851599999558, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.380936539525, Accuracy: 0.861127271652, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.368815514418, Accuracy: 0.864800000191, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.367376552251, Accuracy: 0.864563635913, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.369673731544, Accuracy: 0.864709089561, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.343494505964, Accuracy: 0.8730363641, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.346421226913, Accuracy: 0.87192727284, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.345374319445, Accuracy: 0.872545454394, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.332730473307, Accuracy: 0.878418182351, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.327162319476, Accuracy: 0.879145454493, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.316317514398, Accuracy: 0.882854545767, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.33705374967, Accuracy: 0.872436363589, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.313206865598, Accuracy: 0.88392727245, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.333294549611, Accuracy: 0.874381819422, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.299241418188, Accuracy: 0.889327272827, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.308276315169, Accuracy: 0.885236363844, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.293739706088, Accuracy: 0.891981818026, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.300457786904, Accuracy: 0.887945455529, lr: 0.0001
