Epoch 0, Step 55000, Loss: 0.801487699314, Accuracy: 0.707854547717, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.684880143458, Accuracy: 0.743890909932, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.623932694088, Accuracy: 0.768127271154, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.590028508468, Accuracy: 0.7812545435, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.547827806906, Accuracy: 0.793363632722, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.516107057116, Accuracy: 0.809199996753, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.525360546762, Accuracy: 0.804399998838, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.471620763215, Accuracy: 0.826527270837, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.47487894042, Accuracy: 0.822999997789, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.453946717707, Accuracy: 0.831727270755, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.442401989698, Accuracy: 0.83683636286, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.419518357136, Accuracy: 0.846945453557, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.416007460762, Accuracy: 0.845381818034, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.403200671917, Accuracy: 0.85025454402, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.398403875584, Accuracy: 0.85325454441, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.407507138036, Accuracy: 0.847890907851, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.375000341643, Accuracy: 0.862545454285, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.377545102645, Accuracy: 0.860709089908, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.371318376417, Accuracy: 0.861181816079, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.371297301623, Accuracy: 0.861836364053, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.357563740692, Accuracy: 0.867581818537, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.362798241865, Accuracy: 0.865290908163, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.361737058298, Accuracy: 0.867418181246, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.369709520801, Accuracy: 0.861763635765, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.345018251403, Accuracy: 0.870745454702, lr: 0.0001
