Epoch 0, Step 55000, Loss: 0.500464873368, Accuracy: 0.809090905081, lr: 0.0001
Epoch 1, Step 55000, Loss: 0.420279352353, Accuracy: 0.84298181252, lr: 0.0001
Epoch 2, Step 55000, Loss: 0.335993874879, Accuracy: 0.873581813032, lr: 0.0001
Epoch 3, Step 55000, Loss: 0.313061096343, Accuracy: 0.883890904134, lr: 0.0001
Epoch 4, Step 55000, Loss: 0.295454545807, Accuracy: 0.890236359889, lr: 0.0001
Epoch 5, Step 55000, Loss: 0.273529883897, Accuracy: 0.896799996279, lr: 0.0001
Epoch 6, Step 55000, Loss: 0.268541803722, Accuracy: 0.899290904619, lr: 0.0001
Epoch 7, Step 55000, Loss: 0.253898485923, Accuracy: 0.90558181443, lr: 0.0001
Epoch 8, Step 55000, Loss: 0.238069316013, Accuracy: 0.910581814647, lr: 0.0001
Epoch 9, Step 55000, Loss: 0.215827998888, Accuracy: 0.921036360101, lr: 0.0001
Epoch 10, Step 55000, Loss: 0.212858663608, Accuracy: 0.919909087582, lr: 0.0001
Epoch 11, Step 55000, Loss: 0.204144705307, Accuracy: 0.92530908758, lr: 0.0001
Epoch 12, Step 55000, Loss: 0.197022225836, Accuracy: 0.926763633381, lr: 0.0001
Epoch 13, Step 55000, Loss: 0.18021018001, Accuracy: 0.93283636104, lr: 0.0001
Epoch 14, Step 55000, Loss: 0.172576400412, Accuracy: 0.935018178766, lr: 0.0001
Epoch 15, Step 55000, Loss: 0.171202083472, Accuracy: 0.934363633665, lr: 0.0001
Epoch 16, Step 55000, Loss: 0.157059700906, Accuracy: 0.940963633331, lr: 0.0001
Epoch 17, Step 55000, Loss: 0.158136167787, Accuracy: 0.941836361831, lr: 0.0001
Epoch 18, Step 55000, Loss: 0.143293781916, Accuracy: 0.947436361638, lr: 0.0001
Epoch 19, Step 55000, Loss: 0.1404177685, Accuracy: 0.948018180132, lr: 0.0001
Epoch 20, Step 55000, Loss: 0.134551467075, Accuracy: 0.949290907058, lr: 0.0001
Epoch 21, Step 55000, Loss: 0.132303352635, Accuracy: 0.951090907292, lr: 0.0001
Epoch 22, Step 55000, Loss: 0.135035983688, Accuracy: 0.949818180095, lr: 0.0001
Epoch 23, Step 55000, Loss: 0.115103849337, Accuracy: 0.958781817176, lr: 0.0001
Epoch 24, Step 55000, Loss: 0.112441465314, Accuracy: 0.959218181155, lr: 0.0001
